NAME,A,Period,Eccentricity,OM,PLANETDISCMETH,Mass,Gravity,R,Rstar
WASP-33 b,0.0255483,1.21986983,0,90,Transit,0,,1.497,1.444
HD 128311 b,1.08649,454.2,0.345,63,RV,1.4572,0,,0.58322
HD 181433 d,3.02208,2172,0.48,330,RV,0.535482,0,,1.00831
TrES-1 b,0.0392516,3.030065,0,90,Transit,0.752484,3.21692,1.067,0.807
HD 4208 b,1.65355,828,0.052,345,RV,0.807457,0,,0.876501
Kepler-62 e,0.426299,122.3874,0.13,292.62,Transit,0,,0.143507,0.64
Kepler-120 b,0.0668458,6.312501,,90,Transit,0.0160511,,0.19181,0.534
HD 5388 b,1.76349,777,0.4,324,RV,1.96509,,,1.29538
CoRoT-10 b,0.105463,13.2406,0.53,218.9,Transit,2.75536,3.85785,0.97,0.79
11 UMi b,1.53498,516.22,0.08,117.63,RV,11.0873,0,,44.65
Kepler-286 d,0.0640044,5.914323,,90,Transit,0.00789025,,0.118655,0.863
Kepler-338 c,0.164238,24.310856,,90,Transit,0.0178911,,0.208761,1.735
WASP-62 b,0.0567187,4.411953,0,90,Transit,0.56227,2.86547,1.39,1.28
Kepler-300 c,0.23162,40.714955,,90,Transit,0.0169862,,0.200732,0.9
HD 4732 c,4.60219,2732,0.23,118,RV,2.36493,,,5.55146
Kepler-258 c,0.203997,33.653079,,90,Transit,0.0400599,,0.322063,0.915
kappa CrB b,2.71619,1300,0.125,83.1,RV,1.9747,0,,5.06
Kepler-25 b,0.0702822,6.2385,0,90,Transit,0.0223552,,0.24177,1.31
HD 99492 b,0.121908,17.0431,0.254,219,RV,0.106179,0,,0.630794
Kepler-167 c,0.0743589,7.406097,,90,Transit,0.00871939,,0.122223,0.696
Kepler-291 b,0.0455136,3.546511,,90,Transit,0.0161415,,0.192702,1.016
HD 204941 b,2.55427,1733,0.37,228,RV,0.26689,,,0.850124
Kepler-332 d,0.206247,34.21154,,90,Transit,0.00523423,,0.105273,0.72
HD 196050 b,2.51056,1378,0.228,187,RV,2.8434,0,,1.31321
WASP-11 b,0.0436466,3.722465,0,90,Transit,0.539755,3.20407,0.91,0.74
HD 111232 b,1.97489,1143,0.2,98,RV,6.84182,0,,0.874998
HD 117618 b,0.174852,25.827,0.42,254,RV,0.176652,0,,1.16537
Kepler-192 c,0.15002,21.2234,,90,Transit,0.0235009,,0.248907,1.007
HD 180902 b,1.38103,479,0.09,300,RV,1.56395,,,3.85021
HIP 12961 b,0.25497,57.435,0.166,272,RV,0.354314,,,
HD 63454 b,0.0362523,2.818049,0,87.3,RV,0.384566,0,,1.15809
BD +48 738 b,1.11234,392.6,0.2,358.9,RV,1.2654,,,11.7902
Kepler-62 c,0.0928559,12.4417,0.186815,254.476,Transit,0,,0.0481326,0.64
Kepler-371 c,0.325944,67.968015,,90,Transit,0.0131206,,0.158801,0.992
NGC 2423 3 b,1.6555,714.3,0.21,18,RV,6.63106,,,21.2079
Kepler-227 b,0.0877115,9.488015,,90,Transit,0.0288426,,0.277456,1.091
