NAME,A,Period,Eccentricity,OM,PLANETDISCMETH,Mass,Gravity,R,Rstar
Kepler-278 b,0.189627,30.160546,,90,Transit,0.0541479,,0.363101,2.935
HD 162020 b,0.0756944,8.428198,0.277,28.4,RV,15.2138,0,,0.526361
Kepler-183 b,0.0623606,5.687945,,90,Transit,0.0152673,,0.183781,0.958
MOA-bin-1L b,,,,,Microlensing,3.7,,,
Kepler-210 c,0.0781034,7.972513,,90,Transit,0.0403249,,0.322955,0.65
Kepler-437 b,0.286604,66.65062,0,90,Transit,0.0159616,,0.19092,0.68
Kepler-184 d,0.184825,29.022358,,90,Transit,0.0195472,,0.222143,0.873
HD 168746 b,0.0655505,6.404,0.107,17,RV,0.245103,0,,0.888361
GJ 876 c,0.129574,30.0881,0.25591,48.76,RV,0.612168,0,,
Kepler-20 c,0.0930411,10.854092,0,6.46982,Transit,0.0495058,3.21759,0.273643,0.944
Kepler-47 b,0.267621,49.514,0,,Transit,0.026473,,0.265621,0.964
Kepler-296 b,0.0461525,3.621457,,90,Transit,0.00233796,,0.0838612,0.557
Kepler-402 b,0.0495511,4.028751,,90,Transit,0.00587447,,0.108841,1.264
Kepler-260 b,0.0795006,8.187399,,90,Transit,0.0148535,,0.17932,0.862
Kepler-255 c,0.0905121,9.946047,,90,Transit,0.0266892,,0.26675,0.933
HD 215497 b,0.0465952,3.93404,0.16,96,RV,0.020855,,,1.10659
Kepler-62 f,0.717595,267.291,0.094434,237.995,Transit,0,,0.12568,0.64
HATS-5 b,0.0542014,4.763387,0.019,204,Transit,0.237663,2.85215,0.912,0.871
HD 154345 b,4.21377,3341.5588,0.044,68.1543,RV,0.956901,0,,1
Kepler-60 c,0.0871504,8.9193459,,,Transit,0.0192896,,0.220162,1.5
Kepler-395 c,0.209361,34.989262,,90,Transit,0.00769114,,0.117763,0.556
HD 217107 b,0.0750282,7.1268163,0.126686,24.3621,RV,1.40112,0,,1.5
Kepler-431 c,0.0847193,8.703,,,Transit,0.00075757,,0.0609,1.092
mu Ara c,5.34057,4205.8,0.0985,57.6,RV,1.88907,0,,1.25035
HD 7199 b,1.36155,615,0.19,155,RV,0.295018,,,1.11756
Kepler-233 c,0.301339,60.418955,,90,Transit,0.0223552,,0.24177,0.758
GJ 433 b,0.0580371,7.3709,0.08,204,RV,0.0181986,,,
HD 159243 b,0.110366,12.62,0.02,223,RV,1.13,,,1.12
Kepler-327 d,0.113517,13.969457,,90,Transit,0.0127755,,0.15434,0.492
HAT-P-31 b,0.0611921,5.005425,0.245,274.3,Transit,2.16904,3.67613,1.07,1.36
OGLE-TR-113 b,0.0228946,1.4324757,0,90,Transit,1.26,3.41862,1.093,0.774
Kepler-356 c,0.108876,13.121632,,90,Transit,0.0133325,,0.161477,1.335
Kepler-41 b,0.0289537,1.855558,0,90,Transit,0.493545,3.23957,0.841,0.966
Kepler-270 b,0.0995717,11.476094,,90,Transit,0.0148535,,0.17932,1.461
HD 285507 b,0.0588842,6.0881,0.086,182,RV,0.917,,,0.656
HD 40307 d,0.132422,20.46,0,0,RV,0.028076,0,,0.839223
HD 290327 b,3.43052,2443,0.08,268,RV,2.54762,,,0.997399
Kepler-438 b,0.171702,35.23319,0,90,Transit,0.00436191,,0.0999205,0.52
GJ 876 e,0.333345,124.26,0.055,239,RV,0.039229,,,
HD 169830 c,3.60184,2102,0.33,252,RV,4.06407,0,,1.80318
47 UMa c,3.57197,2391,0.098,295,RV,0.545774,0,,1.11869
Kepler-85 b,0.0780663,8.306,,,Transit,0.0145548,,0.176,1.24
Kepler-313 c,0.198382,32.273273,,90,Transit,0.0205131,,0.22928,1.536
Kepler-199 b,0.161192,23.637604,,90,Transit,0.0288426,,0.277456,0.967
Kepler-172 b,0.0401669,2.940309,,90,Transit,0.0179955,,0.209653,1.085
Kepler-223 d,0.117913,14.788759,,90,Transit,0.0265182,,0.265858,1.017
Kepler-431 d,0.104497,11.922,,,Transit,0.00452953,,0.101,1.092
Kepler-360 b,0.0432887,3.289672,,90,Transit,0.0122424,,0.147203,1.058
Kepler-246 b,0.0541452,4.60182,,90,Transit,0.0178911,,0.208761,0.831
Kepler-347 b,0.10708,12.79836,,90,Transit,0.0145328,,0.175752,1.005
HD 63765 b,0.94038,358,0.24,122,RV,0.643827,,,0.975102
Kepler-217 c,0.0820605,8.586004,,90,Transit,0.0136211,,0.165046,1.799
HD 85390 b,1.52377,788,0.41,266,RV,0.131884,,,0.958233
Kepler-401 c,0.256031,47.318218,,90,Transit,0.0160511,,0.19181,1.333
Kepler-299 c,0.0708347,6.885875,,90,Transit,0.0215411,,0.236417,1.032
Kepler-112 b,0.080928,8.408878,,90,Transit,0.0181008,,0.210545,0.841
Kepler-155 c,0.27496,52.661793,,90,Transit,0.0168894,,0.199839,0.62
Kepler-271 c,0.0743912,7.410935,,90,Transit,0.00291583,,0.089214,0.88
Kepler-241 c,0.213635,36.065978,,90,Transit,0.0205131,,0.22928,0.668
WASP-77 A b,0.0240531,1.3600309,0,90,Transit,1.75921,3.4765,1.21,0.955
Kepler-164 c,0.0964797,10.945723,,90,Transit,0.022635,,0.243554,1.148
Kepler-371 b,0.208459,34.763278,,90,Transit,0.0139171,,0.168615,0.992
55 Cnc e,0.0154393,0.736546,0,90,RV,0.0263671,3.23513,0.185565,0.943
HIP 57274 d,1.00678,431.7,0.27,187.2,RV,0.528573,,,0.68
HD 221287 b,1.25015,456.10001,0.08,98,RV,3.11535,0,,1.10236
KOI-13 b,0.0342279,1.76358799,0,,Transit,6.515,,1.406,1.71
HD 192699 b,1.12292,345.53,0.129,41.3,RV,2.29191,0,,3.61317
Kepler-178 d,0.412251,96.678988,,90,Transit,0.0500833,,0.352395,1.066
Kepler-312 b,0.0286627,1.772419,,90,Transit,0.00711292,,0.115086,1.467
Kepler-164 b,0.0574921,5.03503,,90,Transit,0.00960182,,0.125792,1.148
Kepler-341 b,0.0587074,5.195528,,90,Transit,0.00523423,,0.105273,1.024
Kepler-311 c,0.142937,19.738286,,90,Transit,0.0100631,,0.127576,1.188
HD 181342 b,1.777,663,0.177,281,RV,3.14944,,,4.76324
WASP-8 b,0.080153,8.158715,0.31,274.27,Transit,2.13797,3.69313,1.038,0.945
HD 131496 b,2.1121,883,0.163,22,RV,2.24115,,,4.56407
Kepler-154 c,0.307572,62.303276,,90,Transit,0.0260126,,0.263181,1.001
Kepler-334 c,0.106855,12.758005,,90,Transit,0.0100631,,0.127576,1.068
Kepler-372 c,0.144457,20.053763,,90,Transit,0.0155228,,0.186457,1.137
Kepler-127 b,0.11603,14.435889,,90,Transit,0.00937625,,0.1249,1.359
HD 44219 b,1.18713,472.3,0.61,147.4,RV,0.589265,,,1.36324
75 Cet b,1.97678,691.9,0.117,165,RV,2.7597,,,10.5
Kepler-27 b,0.10464,15.3348,0,90,Transit,0.051622,,0.356538,0.59
Kepler-210 b,0.0355986,2.453234,,90,Transit,0.0258466,,0.262289,0.65
Kepler-40 b,0.0806644,6.87349,0,90,Transit,2.17684,3.59682,1.17,2.13
Kepler-171 c,0.0994986,11.463462,,90,Transit,0.020389,,0.228388,0.839
Kepler-298 c,0.157953,22.92881,,90,Transit,0.0142208,,0.172183,0.582
Kepler-331 c,0.130814,17.28111,,90,Transit,0.0135483,,0.164154,0.492
HD 220074 b,1.60044,672.1,0.14,323,RV,11.1883,,,54.7067
Kepler-133 b,0.0791285,8.129976,,90,Transit,0.0129814,,0.157017,1.425
WASP-89 b,0.0427555,3.3564227,0.193,28,Transit,5.82191,4.12276,1.04,0.88
HAT-P-39 b,0.0509456,3.54387,0,90,Transit,0.599196,2.78181,1.571,1.625
WASP-26 b,0.0399686,2.7566,0,90,Transit,1.01746,3.16032,1.32,1.34
WASP-71 b,0.0463361,2.9036747,0,90,Transit,2.242,3.39504,1.5,2.32
HIP 2247 b,1.33884,655.6,0.54,112.2,RV,5.12319,0,,1.07261
GJ 876 d,0.0208066,1.93778,0.207,234,RV,0.0184193,0,,
Kepler-312 c,0.142982,19.747412,,90,Transit,0.0296032,,0.281024,1.467
OGLE-TR-56 b,0.0238308,1.211909,0,90,Transit,1.39,3.26974,1.363,1.363
Kepler-235 c,0.0771364,7.824904,,90,Transit,0.00692663,,0.114194,0.554
Kepler-146 c,0.353393,76.732171,,90,Transit,0.0292202,,0.27924,1.208
Kepler-372 d,0.189342,30.092568,,90,Transit,0.0125062,,0.150772,1.137
Kepler-156 b,0.0570224,4.973456,,90,Transit,0.0174811,,0.205192,0.807
HD 38529 b,0.1272,14.310195,0.243663,95.3538,RV,0.803263,0,,2.02418
Kepler-393 c,0.11698,14.613612,,90,Transit,0.00789025,,0.118655,1.382
Kepler-136 c,0.126325,16.399235,,90,Transit,0.014692,,0.177536,1.355
Kepler-436 b,0.281824,64.00205,0,90,Transit,0.0226353,,0.243556,0.697
WASP-82 b,0.0448251,2.705785,0,90,Transit,1.25,3.03969,1.67,2.18
BD +20 2457 c,1.45701,621.99,0.18,126.02,RV,6.90191,0,,32.9639
Kepler-144 b,0.0637947,5.885273,,90,Transit,0.00789025,,0.118655,1.235
HD 22781 b,1.16847,528.07,0.8191,315.92,RV,13.8403,,,0.720445
Kepler-208 d,0.09757,11.131786,,90,Transit,0.00554835,,0.107057,1.314
Kepler-286 e,0.185669,29.221289,,90,Transit,0.0130508,,0.157909,0.863
Kepler-351 b,0.217522,37.054919,,90,Transit,0.0279223,,0.272995,0.854
HD 120084 b,4.26892,2082,0.66,117,RV,4.4772,,,10.9537
HD 95127 b,1.2802,482,0.11,40,RV,5.0362,,,20
MOA-2009-BLG-266L b,,,,,Microlensing,0.0327,,,
Kepler-89 d,0.173437,23.342989,0.022,,,0.163924,,1.027,1.52
Kepler-387 b,0.0701869,6.791636,,90,Transit,0.00324127,,0.0918904,1.046
HD 20868 b,0.947319,380.85,0.75,356.2,RV,2.00901,0,,1.15581
HAT-P-9 b,0.0528645,3.92289,0,90,Transit,0.776601,2.99964,1.4,1.32
Kepler-410 A b,0.142508,17.833648,0.17,,,,,0.258635,1.352
Kepler-33 e,0.213825,31.7844,0,90,Transit,0.0525296,,0.358929,1.82
Kepler-216 c,0.131447,17.406669,,90,Transit,0.0275635,,0.271211,1.26
Kepler-365 c,0.13334,17.784129,,90,Transit,0.0121773,,0.146311,1.048
Kepler-19 b,0.0845828,9.2869944,0,90,Transit,0.0165942,3.8231,0.197074,0.85
Kepler-130 b,0.0812393,8.457458,,90,Transit,0.00313003,,0.0909983,1.127
Kepler-160 c,0.112047,13.699087,,90,Transit,0.0400599,,0.322063,0.884
Kepler-207 c,0.0413536,3.071571,,90,Transit,0.0117855,,0.133821,1.588
Kepler-284 b,0.106526,12.699149,,90,Transit,0.0168894,,0.199839,0.814
Kepler-326 b,0.0335877,2.248329,,90,Transit,0.0123086,,0.135605,0.801
HD 107148 b,0.270013,48.056,0.05,75,RV,0.212171,0,,1.04161
HD 1666 b,0.937147,270,0.63,293.9,RV,6.47072,,,1.93
Kepler-200 c,0.0921796,10.222157,,90,Transit,0.011856,,0.14185,0.944
Kepler-95 b,0.102439,11.5231,0,,Transit,0.0409024,,0.305112,1.41
Kepler-280 c,0.0557436,4.807091,,90,Transit,0.0148535,,0.17932,0.886
KIC 11442793 e,0.423643,91.93913,,,Transit,0.021628,,0.237,1.2
Kepler-249 d,0.120974,15.368459,,90,Transit,0.0117295,,0.140066,0.482
51 Peg b,0.0521068,4.230785,0.013,58,RV,0.461143,0,,1.02451
WASP-60 b,0.0531121,4.3050011,0,90,Transit,0.512143,3.23728,0.86,1.14
Kepler-99 b,0.0500668,4.60358,0,90,Transit,0.01935,,0.132037,0.73
Kepler-125 c,0.0629914,5.774464,,90,Transit,0.00100422,,0.0660184,0.512
HD 5319 c,2.0717,886,0.15,252,RV,1.15,,,3.85
Kepler-319 c,0.0712147,6.941357,,90,Transit,0.0212781,,0.234633,0.903
Kepler-153 b,0.138715,18.870227,,90,Transit,0.0255184,,0.260505,0.892
55 Cnc f,0.773567,261.2,0.32,139,RV,0.172877,,,0.943
Kepler-238 d,0.109494,13.233549,,90,Transit,0.0281036,,0.273887,1.43
HAT-P-54 b,0.0411908,3.799847,0,,Transit,0.76,,0.944,0.617
HIP 67851 b,0.458562,88.8,0.09,87.7,RV,1.41789,,,5.92
Kepler-153 c,0.254528,46.90232,,90,Transit,0.0200225,,0.225711,0.892
HD 212301 b,0.034116,2.245715,0,0,RV,0.39615,0,,
Kepler-295 c,0.151444,21.526258,,90,Transit,0.00508144,,0.10438,0.898
GJ 504 b,,,,,Imaging,4,,,0.912273
HAT-P-15 b,0.0964692,10.863502,0.19,262,Transit,1.95154,3.62692,1.072,1.08
Kepler-24 e,0.139343,18.998355,,90,Transit,0.0233538,,0.248015,1.289
HD 209458 b,0.047235,3.52474859,0,0,RV,0.689646,2.96875,1.359,1.155
HD 102272 b,0.512595,127.58,0.05,118,RV,4.10898,0,,12.7057
K2-3 d,0.207594,44.5631,,,Transit,0.0116544,,0.139,0.561
HD 181433 b,0.0800943,9.3743,0.396,202,RV,0.0237331,0,,1.00831
HD 187123 b,0.042091,3.0965828,0.0102736,24.5363,RV,0.510056,0,,1.14277
HD 108147 b,0.101407,10.8985,0.53,308,RV,0.257999,0,,1.29703
Kepler-82 c,0.256743,51.538,,,Transit,0.095206,,0.477,0.9
WASP-61 b,0.0514489,3.8559,0,90,Transit,2.05491,3.52108,1.24,1.36
Kepler-58 b,0.0905953,10.2184954,,,Transit,0.0233176,,0.247794,1.03
eta Cet b,1.28444,407.5,0.155,244.7,,2.5485,,,14.3
Kepler-379 b,0.144671,20.09838,,90,Transit,0.0123078,,0.148095,1.306
Kepler-376 b,0.0566146,4.920199,,90,Transit,0.00371234,,0.095459,1.175
HD 215497 c,1.28243,567.94,0.49,45,RV,0.327524,,,1.10659
Kepler-225 b,0.0698236,6.738975,,90,Transit,0.00554835,,0.107057,0.48
CoRoT-17 b,0.0480499,3.7681,0,90,Transit,2.46001,3.8132,1.02,1.5121
HD 20794 d,0.349781,90.309,0,0,RV,0.0147932,,,1.22683
xi Aql b,0.53813,136.75,0,0,RV,1.77912,0,,10.45
Kepler-444 d,0.0601536,6.189392,0.18,,Transit,0.000340205,,0.0483,0.752
Kepler-444 e,0.0698427,7.743493,0.1,,Transit,0.000377818,,0.0498,0.752
HD 33564 b,1.1241,388,0.34,205,RV,9.12785,0,,
HD 40979 b,0.846038,264.15,0.252,323.4,RV,4.02224,0,,1.27973
GJ 581 c,0.0729238,12.9182,0.07,235,RV,0.0167756,0,,0.299
HD 10180 c,0.0641175,5.75962,0.077,279,RV,0.0415054,,,1.10851
WASP-31 b,0.0466223,3.405909,0,90,Transit,0.479329,2.69522,1.537,1.252
bet UMi b,1.4219,522.3,0.19,307.4,RV,6.1,,,38.3
HD 134987 c,5.82513,5000,0.12,195,RV,0.804926,0,,1.16572
Kepler-102 d,0.0860714,10.3117,0,,Transit,0.00574989,,0.105263,0.74
Kepler-164 d,0.184674,28.986769,,90,Transit,0.0190864,,0.218574,1.148
HD 40307 b,0.0468927,4.3115,0,0,RV,0.0129071,0,,0.839223
WASP-101 b,0.0505526,3.585722,0,90,Transit,0.5,2.79404,1.41,1.29
Kepler-199 c,0.323142,67.093408,,90,Transit,0.0316029,,0.289946,0.967
Kepler-344 b,0.15349,21.963945,,90,Transit,0.0210192,,0.232849,0.976
Kepler-132 b,0.0658943,6.178196,,90,Transit,0.0057099,,0.107949,1.178
iota Dra b,1.31029,511.098,0.7124,91.58,RV,9.31534,0,,11.99
HD 108874 b,1.03527,394.48124,0.1276,219.356,RV,1.2902,0,,1.12115
Kepler-250 d,0.132661,17.648312,,90,Transit,0.0163243,,0.194487,0.805
Kepler-256 d,0.0634611,5.839172,,90,Transit,0.0194307,,0.221251,1.301
Kepler-187 b,0.0567577,4.938864,,90,Transit,0.00960182,,0.125792,1.287
HD 4732 b,1.19218,360.2,0.13,85,RV,2.37727,,,5.55146
Kepler-374 d,0.0574402,5.028219,,90,Transit,0.00749504,,0.11687,0.911
Kepler-383 c,0.193962,31.200751,,90,Transit,0.00621274,,0.110625,0.672
HD 23596 b,2.77219,1561,0.266,272.6,RV,7.74272,0,,1.96615
Kepler-295 b,0.106224,12.645164,,90,Transit,0.00587447,,0.108841,0.898
Kepler-171 d,0.227355,39.595519,,90,Transit,0.0139171,,0.168615,0.839
HD 25171 b,3.03064,1845,0.08,96,RV,0.956204,,,1.06877
HD 83443 b,0.0404623,2.985698,0.013,117,RV,0.395855,0,,0.942509
Kepler-287 b,0.145838,20.342199,,90,Transit,0.0177874,,0.207869,1.032
WASP-36 b,0.0262601,1.5373653,0,90,Transit,2.26929,3.545,1.269,0.943
Kepler-213 c,0.0558662,4.822962,,90,Transit,0.0178911,,0.208761,1.195
Kepler-268 b,0.17147,25.934138,,90,Transit,0.0202659,,0.227496,1.274
Kepler-430 b,0.224449,35.968,,,Transit,0.0330424,,0.296,1.485
HD 43691 b,0.241901,36.959999,0.14,290,RV,2.49717,0,,1.34586
Kepler-204 b,0.115842,14.400974,,90,Transit,0.0200225,,0.225711,1.238
Kepler-149 c,0.284166,55.328328,,90,Transit,0.0119837,,0.143635,0.953
30 Ari B b,0.99475,335.1,0.289,307,RV,9.87792,,,1.02283
HAT-P-6 b,0.0523738,3.852985,0,90,Transit,1.05957,3.17576,1.33,1.46
Kepler-35 b,0.48628,131.458,0.042,11.6336,Transit,0.127011,,0.728,1.0284
Kepler-397 b,0.154824,22.250949,,90,Transit,0.0192003,,0.219467,0.767
Kepler-129 c,0.369989,82.20017,,90,Transit,0.0202659,,0.227496,1.641
Kepler-398 c,0.0992436,11.419412,,90,Transit,0.00302153,,0.0901062,0.613
Kepler-211 b,0.0504476,4.138575,,90,Transit,0.00656354,,0.11241,0.816
Kepler-242 b,0.0796077,8.20395,,90,Transit,0.0210192,,0.232849,0.85
Kepler-138 b,0.074609,10.312364,,90,Transit,0.00021,,0.047,0.442
Kepler-389 b,0.0428881,3.244107,,90,Transit,0.0120453,,0.134713,0.792
PSR B1257+12 A,0.168494,25.262,0,90,Timing,6.29E-05,,,
BD -08 2823 c,0.679166,237.6,0.19,127,RV,0.328101,,,1.27853
4 UMa b,0.876999,269.29999,0.432,23.81,RV,7.13242,0,,34.6101
Qatar-1 b,0.0234308,1.420033,0,90,Transit,1.08979,3.30067,1.164,0.823
HD 10697 b,2.13177,1075.2,0.099,111.2,RV,6.23505,0,,1.54131
Kepler-194 b,0.032015,2.092281,,90,Transit,0.0120453,,0.134713,1.025
Kepler-221 d,0.0910907,10.04156,,90,Transit,0.022635,,0.243554,0.821
Kepler-338 d,0.245507,44.431014,,90,Transit,0.0268614,,0.267642,1.735
Kepler-32 e,0.0323795,2.896,,,Transit,0.0117511,,0.133702,0.53
HD 113337 b,1.03346,324,0.46,219.2,RV,2.83,,,1.5
Kepler-146 b,0.193788,31.158799,,90,Transit,0.0427893,,0.330984,1.208
Kepler-11 f,0.250413,46.6888,0.013,90,Transit,0.00723031,3.94515,0.221888,1.065
BD +20 2457 b,1.04992,379.63,0.15,207.64,RV,11.8883,0,,32.9639
Kepler-176 c,0.106865,12.759712,,90,Transit,0.0208911,,0.231956,0.891
mu Ara d,0.0927843,9.6386,0.172,212.7,RV,0.0345873,0,,1.25035
HD 3651 b,0.29472,62.218,0.596,245.5,RV,0.228975,0,,0.934685
KIC 11442793 d,0.307074,56.73667,,,Transit,0.0247111,,0.256,1.2
Kepler-442 b,0.386141,112.3053,0,90,Transit,0.00809285,,0.119548,0.598
HD 99706 b,2.13423,868,0.37,6,RV,1.40289,,,5.26341
Kepler-251 b,0.0556186,4.790936,,90,Transit,0.00789025,,0.118655,0.89
HD 169830 b,0.813279,225.62,0.31,148,RV,2.88946,0,,1.80318
Kepler-292 c,0.0469467,3.715335,,90,Transit,0.0110268,,0.131145,0.826
HD 175541 b,0.961227,297.3,0.33,183,RV,0.52763,0,,3.07498
Kepler-324 b,0.0524333,4.385315,,90,Transit,0.00464108,,0.101704,0.84
Kepler-250 c,0.0726807,7.156804,,90,Transit,0.0172808,,0.203408,0.805
HD 202206 c,2.49004,1383.4,0.267,78.99,RV,2.33098,0,,0.985786
Kepler-309 b,0.0640717,5.923653,,90,Transit,0.0116666,,0.139174,0.721
HD 145457 b,0.762504,176.3,0.112,300,RV,2.97219,,,9.54834
Kepler-261 c,0.165407,24.570858,,90,Transit,0.0147725,,0.178428,0.794
Kepler-336 c,0.0884004,9.600001,,90,Transit,0.0156092,,0.187349,1.304
HD 206610 b,1.53703,610,0.229,296,RV,1.97113,,,4.98482
M 67 SAND 364 b,0.531449,121.71,0.35,273.51,RV,1.88274,,,20.1708
Kepler-100 b,0.072684,6.88705,0,,Transit,0.0230941,,0.117763,1.49
Kepler-365 b,0.0948224,10.664903,,90,Transit,0.0151,,0.181997,1.048
HD 12661 c,2.91927,1707.8812,0.0312556,165.406,RV,1.9487,0,,1.06782
Kepler-12 b,0.0556348,4.4379637,0,182,Transit,0.431956,2.57423,1.695,1.483
Kepler-229 d,0.233437,41.194912,,90,Transit,0.0469127,,0.343474,0.728
KIC 11442793 c,0.088103,8.719375,,,Transit,0.0053608,,0.106,1.2
HAT-P-36 b,0.0238229,1.327347,0.063,95,Transit,1.83923,3.45669,1.264,1.096
WASP-35 b,0.0431283,3.161575,0,90,Transit,0.717098,3.01305,1.32,1.09
HD 69830 d,0.627426,197,0.07,224,RV,0.0563373,0,,0.921634
CoRoT-22 b,0.0922129,9.75598,0.077,210,Transit,0.0383,2.73758,0.445,1.136
HD 28254 b,2.14768,1116,0.81,301,RV,1.1614,,,1.56874
HD 81688 b,0.811148,184.02,0,0,RV,2.6907,0,,20.8234
HD 210277 b,1.13105,442.19,0.476,119.1,RV,1.27275,0,,0.939154
Kepler-132 c,0.0675669,6.414914,,90,Transit,0.00692663,,0.114194,1.178
WTS-1 b,0.0466301,3.352059,0.05,,Transit,3.99885,,1.49,1.15
Kepler-322 b,0.0273702,1.653888,,90,Transit,0.00302153,,0.0901062,0.89
HR 8799 c,42.4842,82145,0,,Imaging,9.5,,1.2,1.44
Kepler-51 b,0.248169,45.1555023,,,Transit,0.00661,,0.628398,0.91
Kepler-252 b,0.0693352,6.668391,,90,Transit,0.00604207,,0.109733,0.549
XO-1 b,0.049283,3.941534,0,90,Transit,0.918464,3.19713,1.206,0.934
Kepler-63 b,0.0869107,9.4341505,,,Transit,0.125283,,0.545,0.901
Kepler-33 d,0.166175,21.77596,0,90,Transit,0.095206,,0.477,1.82
Kepler-287 c,0.247055,44.851896,,90,Transit,0.0318107,,0.290838,1.032
Kepler-245 b,0.0749207,7.49019,,90,Transit,0.0205131,,0.22928,0.795
Kepler-100 c,0.109963,12.8159,0,,Transit,0,,0.196271,1.49
GJ 15 A b,0.0716678,11.4433,0,90,RV,0.0168,,,0.3863
Kepler-180 c,0.236039,41.885775,,90,Transit,0.027035,,0.268534,1.063
Kepler-82 e,0.063917,5.902206,,90,Transit,0.019315,,0.220359,0.945
Kepler-20 d,0.345324,77.61184,0,74.0546,Transit,0.0236865,2.99138,0.24512,0.944
Kepler-217 b,0.0600513,5.374943,,90,Transit,0.0167934,,0.198947,1.799
Kepler-235 e,0.251922,46.183669,,90,Transit,0.0166981,,0.198055,0.554
Kepler-227 c,0.281042,54.418694,,90,Transit,0.0275635,,0.271211,1.091
Kepler-169 d,0.0805377,8.348125,,90,Transit,0.00638668,,0.111518,0.763
Kepler-254 b,0.0633704,5.826662,,90,Transit,0.0475314,,0.345258,0.91
Kepler-79 e,0.366575,81.065298,0.012,9.46,Transit,0.0129,,0.318,1.403
Kepler-241 b,0.106632,12.718092,,90,Transit,0.0177874,,0.207869,0.668
55 Cnc b,0.113377,14.651,0.004,110,RV,0.801471,0,,0.943
Kepler-380 c,0.0758501,7.630004,,90,Transit,0.00674351,,0.113302,1.224
Kepler-384 b,0.156426,22.597053,,90,Transit,0.00436179,,0.0999197,0.882
Kepler-193 c,0.26808,50.697494,,90,Transit,0.0229193,,0.245339,1.147
Kepler-368 c,0.339899,72.379334,,90,Transit,0.0478436,,0.34615,2.019
Kepler-102 f,0.165339,27.4536,0,,Transit,0.00195073,,0.0785013,0.74
Kepler-131 c,0.170752,25.5169,0,90,Transit,0.0525494,,0.0749398,1.03
Kepler-74 b,0.0827067,7.340718,0.287,64,Transit,0.66711,,1.32,1.51
HD 207832 b,0.569755,161.97,0.13,130.8,RV,0.564176,,,0.901
M 67 YBP 1514 b,0.057344,5.118,0.39,327.49,RV,0.397418,,,0.86358
WASP-55 b,0.0532575,4.465633,0,90,Transit,0.571173,2.92735,1.3,1.06
Kepler-280 b,0.0324953,2.139542,,90,Transit,0.010538,,0.12936,0.886
Kepler-325 c,0.106878,12.762172,,90,Transit,0.0201438,,0.226604,1.003
GJ 3293 b,0.143394,30.6,0.07,-103,RV,0.081,,,0.404
HD 33283 b,0.145378,18.179001,0.48,155.8,RV,0.330171,0,,1.45431
OGLE-TR-111 b,0.0468733,4.0144479,0,90,Transit,0.55,3.09284,1.051,0.831
MOA-2007-BLG-400L b,,,,,Microlensing,0.83,,,
HD 10180 e,0.269917,49.747,0.065,174,RV,0.0797893,,,1.10851
Kepler-185 b,0.0271381,1.6329,,90,Transit,0.00508144,,0.10438,0.806
55 Cnc d,5.47467,4909,0.02,254,RV,3.54451,0,,0.943
WASP-3 b,0.0314948,1.846834,0,90,Transit,2.01184,3.47682,1.29,1.31
HD 148156 b,2.12913,1027,0.52,35,RV,0.847612,,,0.965665
Kepler-172 d,0.117052,14.627119,,90,Transit,0.0169862,,0.200732,1.085
Kepler-182 c,0.147469,20.684342,,90,Transit,0.0355742,,0.306004,1.146
TrES-5 b,0.0245157,1.4822446,0,90,Transit,1.7781,3.48046,1.209,0.866
Kepler-49 e,0.137369,18.596108,,90,Transit,0.0116666,,0.139174,0.559
HD 222155 b,5.13864,3999,0.16,137,RV,2.02633,,,1.67
Kepler-399 c,0.174723,26.67569,,90,Transit,0.0100631,,0.127576,0.68
Kepler-175 c,0.205538,34.035257,,90,Transit,0.0286557,,0.276563,1.01
Kepler-391 c,0.146522,20.485435,,90,Transit,0.0382517,,0.315818,3.569
HD 73526 b,0.646509,188.3,0.19,203,RV,2.8556,0,,1.45542
Kepler-200 b,0.0821165,8.594805,,90,Transit,0.0158724,,0.190026,0.944
HD 117207 b,3.73753,2597,0.144,73,RV,1.8189,0,,0.951872
Kepler-122 d,0.151731,21.587475,,90,Transit,0.0165098,,0.196271,1.216
HD 121504 b,0.328688,63.330002,0.03,265,RV,1.2223,0,,0.844267
HD 156846 b,1.11751,359.51001,0.8472,52.23,RV,11.0076,0,,1.58242
Kepler-18 b,0.0447299,3.504725,0,90,Transit,0.022,3.81783,0.17843,1.108
HR 8799 d,26.7553,41054,0.1,,Imaging,9.5,,1.37,1.44
HAT-P-23 b,0.0231971,1.212884,0.106,118,Transit,2.09606,3.44509,1.368,1.203
HD 224693 b,0.192441,26.73,0.05,6,RV,0.714594,0,,1.17028
Kepler-388 c,0.109844,13.297004,,90,Transit,0.00170474,,0.0767241,0.586
Kepler-246 c,0.0978933,11.187161,,90,Transit,0.0117855,,0.133821,0.831
HD 158038 b,1.49788,521,0.291,334,RV,1.79425,,,5.30151
Kepler-240 b,0.0504957,4.144495,,90,Transit,0.00871939,,0.122223,0.739
Kepler-26 c,0.113189,17.25204,0,90,Transit,0.0397121,,0.320884,0.59
Kepler-143 c,0.176495,27.082511,,90,Transit,0.0341953,,0.300651,1.359
GJ 179 b,2.41241,2288,0.21,153,RV,0.824243,0,,
Kepler-206 b,0.0768541,7.781987,,90,Transit,0.00554835,,0.107057,1.185
Kepler-22 b,0.848513,289.8623,,,Transit,0.0183345,,0.2125,0.979
Kepler-68 c,0.0907017,9.605085,0,90,Transit,0.015142,3.33501,0.0849452,1.243
